title	json_key	type	chapter	description
Data format(s)	format	question	Reusing and collecting data	Provide information about data type and file format(s). Example: Measurement results in tabular format (.csv) Measurement results in proprietary format Image files in open (.tif) or proprietary format
Data format	format2	question	Reusing and collecting data	Begin typing to see a list of suggestions based on structured information in the FAIRsharing registry. NB! Return to manual entry if you cannot find the data format/type.
Data format(s)	format3	question	Reusing and collecting data	Provide information about data type and file format(s). Example: Textual data (.txt)
Data format	format_1	question	Reusing and collecting data	Begin typing to see a list of suggestions based on structured information in the FAIRsharing registry. NB! Return to manual entry if you cannot find the data format/type.
How frequently are backups executed? Are snapshots created? What is the recovery strategy?	frequentlyBackupsExecuted	question	Storing and protecting data during the project	
How frequently are backups executed? Are snapshots created? What is the recovery strategy?	frequentlyBackupsExecuted2	question	Storing and protecting data during the project	
How frequently are backups executed? Who is responsible? What is the recovery strategy?	frequentlyBackupsExecuted3	question	Storing and protecting data during the project	
Funder	funder	question	About the research project	Search by Norwegian or English funder name to see a list of suggestions based on Funder IDs in the ROR registry.\ In case the funder is not listed, preferably enter the url to the funder homepage and click outside of the text box to save the string.
List project funding	fundings	question	About the research project	Add all funding that enables the project or that you applied for. Use the 'Add' button for adding new funding.
Other types of data the project will gather	gather	question	Reusing and collecting data	If relevant, describe other types of data and documents that the project will utilize or produce and which have not been captured by the previous categories. What data type/format will be used? Will specific software be needed? What documentation or metadata will accompany the data? For some projects that handle little data, this may be the only applicable category. Examples: Documents related to manuscript writing (e.g. manuscript drafts written in Word or LaTex, figures and illustrations in graphic software) Literature databases Notetaking documents
Under what GDPR category does the project data fall?	gdprCategory	question	Legal and ethical aspects	The GDPR defines (sub)categories for personal data and expects data processors to be aware of and to document the categories of data that they process. Standard personal data includes e.g. name, date of birth, address, (online) identifiers, contact info, account/personnel/customer or other ID numbers, appearance. Special category data includes: data concerning health, Genetic data, racial or ethnic origin, sexual orientation, political opinions, religious or ideological convictions or trade union membership, criminal convictions and offences
The project will generate research software, code, computational models or simulations	generateResearchSoftware	question	Reusing and collecting data	Describe all software, code, computational models or simulations that will be generated during the research project. Research software, computational models and simulations are related to research data as a research output, yet more dynamic.
Estimated data volume in gigabytes	gigabytes	question	Processing, analysing and interpreting data	
Give a link/reference to the policy or guideline	giveLinkReference	question	Legal and ethical aspects	
Give a link/reference to the code of conduct	giveLinkReference2	question	Legal and ethical aspects	
Give a link/reference to the policy or guideline	giveLinkReference3	question	Legal and ethical aspects	
Give a link/reference to the code of conduct	giveLinkReference4	question	Legal and ethical aspects	
Give a reference/link to the storage guideline	giveReferenceLink	question	Storing and protecting data during the project	
Grant number	grantNumber	question	About the research project	
